jnr_db,slice_width_hit_rate_mean,slice_width_hit_rate_std,sampling_interval_hit_rate_mean,sampling_interval_hit_rate_std,modulation_floor_hit_rate_mean,modulation_floor_hit_rate_std,joint_hit_rate_mean,joint_hit_rate_std
-10.0,52.800000000000004,8.67179335547152,61.60000000000001,5.3665631459994945,38.4,5.366563145999495,17.599999999999998,4.560701700396551
-9.0,57.60000000000001,6.06630035524124,73.6,6.066300355241242,51.2,10.353743284435826,31.2,9.959919678390987
-8.0,80.0,3.9999999999999982,86.39999999999999,7.266360849833978,53.6,6.693280212272606,44.00000000000001,5.656854249492379
-7.0,81.60000000000001,4.56070170039655,80.0,3.9999999999999982,70.39999999999999,2.1908902300206603,55.2,4.3817804600413295
-6.0,84.00000000000001,8.485281374238568,93.6,3.577708763999661,65.60000000000001,4.560701700396552,53.599999999999994,10.807404868885035
-5.0,82.4,6.06630035524124,89.60000000000001,8.294576541331086,66.4,8.294576541331091,56.00000000000001,2.828427124746189
-4.0,90.40000000000002,2.190890230020666,93.6,4.56070170039655,72.80000000000001,11.798304963002103,64.8,9.549869109050658
-3.0,91.19999999999999,3.3466401061363014,96.0,2.828427124746189,82.4,4.56070170039655,77.60000000000001,6.06630035524124
-2.0,97.6,2.190890230020666,98.4,2.1908902300206665,88.00000000000001,2.8284271247461925,85.60000000000001,2.190890230020666
-1.0,96.8,3.3466401061363014,99.2,1.7888543819998333,87.20000000000002,6.572670690061995,85.60000000000001,6.066300355241242
0.0,96.8,1.7888543819998337,100.0,0.0,92.8,7.694153624668535,89.6,7.797435475847172
1.0,100.0,0.0,100.0,0.0,92.80000000000001,3.3466401061362996,92.80000000000001,3.3466401061362996
2.0,98.4,2.190890230020666,98.4,2.1908902300206665,92.8,5.932958789676531,90.39999999999999,4.560701700396553
3.0,99.2,1.7888543819998337,99.2,1.7888543819998337,89.60000000000001,2.190890230020666,88.80000000000001,3.3466401061363054
4.0,100.0,0.0,100.0,0.0,95.19999999999999,5.215361924162118,95.19999999999999,5.215361924162118
5.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
6.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
7.0,98.4,2.190890230020666,100.0,0.0,96.8,3.3466401061363014,95.19999999999999,5.215361924162118
8.0,99.2,1.7888543819998337,100.0,0.0,97.6,3.5777087639996625,97.6,3.5777087639996625
9.0,100.0,0.0,100.0,0.0,98.4,2.190890230020666,98.4,2.190890230020666
10.0,99.2,1.7888543819998333,100.0,0.0,100.0,0.0,99.2,1.7888543819998333
11.0,100.0,0.0,100.0,0.0,99.2,1.7888543819998333,99.2,1.7888543819998333
12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
13.0,99.2,1.7888543819998337,100.0,0.0,99.2,1.7888543819998333,98.4,2.190890230020666
14.0,100.0,0.0,100.0,0.0,98.4,2.190890230020666,98.4,2.190890230020666
15.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
16.0,97.6,5.366563145999495,100.0,0.0,99.2,1.7888543819998333,96.8,5.215361924162119
17.0,99.2,1.7888543819998333,100.0,0.0,100.0,0.0,99.2,1.7888543819998333
18.0,98.4,2.190890230020666,100.0,0.0,100.0,0.0,98.4,2.190890230020666
19.0,100.0,0.0,100.0,0.0,95.19999999999999,3.3466401061362996,95.19999999999999,3.3466401061362996
20.0,99.2,1.7888543819998333,100.0,0.0,96.0,4.898979485566356,95.19999999999999,5.215361924162118
