jnr_db,A_Tl_mean,A_Ts_mean,A_x_mean,A_total_mean
-10.0,0.376,0.27999999999999997,0.41600000000000004,0.064
-9.0,0.44000000000000006,0.2,0.43199999999999994,0.064
-8.0,0.592,0.36,0.616,0.2
-7.0,0.6000000000000001,0.44800000000000006,0.52,0.192
-6.0,0.472,0.336,0.4,0.07200000000000001
-5.0,0.512,0.504,0.528,0.22400000000000003
-4.0,0.5760000000000001,0.584,0.536,0.22400000000000003
-3.0,0.728,0.608,0.7440000000000001,0.392
-2.0,0.776,0.616,0.8,0.4720000000000001
-1.0,0.7440000000000001,0.6479999999999999,0.648,0.34400000000000003
0.0,0.8640000000000001,0.552,0.544,0.33599999999999997
1.0,0.8959999999999999,0.8240000000000001,0.72,0.56
2.0,0.8640000000000001,0.7280000000000001,0.8,0.552
3.0,0.808,0.784,0.7120000000000001,0.528
4.0,0.8800000000000001,0.752,0.8480000000000001,0.5920000000000001
5.0,0.9279999999999999,0.8320000000000001,0.7520000000000001,0.576
6.0,0.8960000000000001,0.8719999999999999,0.632,0.536
7.0,0.96,0.8560000000000001,0.76,0.672
8.0,0.8880000000000001,0.9120000000000001,0.8480000000000001,0.672
9.0,0.96,0.9119999999999999,0.784,0.7360000000000001
10.0,0.968,0.952,0.792,0.736
11.0,0.944,0.944,0.712,0.64
12.0,0.96,0.9039999999999999,0.8320000000000001,0.72
13.0,0.944,0.8320000000000001,0.8560000000000001,0.7200000000000001
14.0,0.968,0.8960000000000001,0.752,0.664
15.0,0.968,0.8480000000000001,0.7120000000000001,0.64
16.0,0.96,0.944,0.8240000000000001,0.76
17.0,0.952,0.9119999999999999,0.8,0.736
18.0,0.944,0.952,0.8239999999999998,0.736
19.0,0.968,0.952,0.8319999999999999,0.776
20.0,0.944,0.968,0.7520000000000001,0.672
